"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J4";"DIP_Socket-14_W4.3_W5.08_W7.62_W10.16_W10.9_3M_214-3339-00-0602J";1;"TEST";;;
2;"Y1";"Crystal_SMD_HC49-SD";1;"16MHz";;;
3;"U5";"SOT-23";1;"TPMCP1702T-5002E/CB";;;
4;"U4";"SOT-23";1;"LM4040DBZ-2.5";;;
5;"U3";"SOT-23-6";1;"MT3608";;;
6;"U2";"SOT-23-5";1;"MCP73832-2-OT";;;
7;"U1";"TQFP-44_10x10mm_P0.8mm";1;"ATmega644PA-A";;;
8;"TP3";"TestPoint_Pad_3.0x3.0mm";1;"SMD_P3";;;
9;"TP2";"TestPoint_Pad_1.5x1.5mm";1;"SMD_P2";;;
10;"TP1";"TestPoint_Pad_1.5x1.5mm";1;"SMD_P1";;;
11;"SW1";"RotaryEncoder_Alps_EC12E-Switch_Vertical_H20mm";1;"Rotary Encoder";;;
12;"R25";"R_0805_2012Metric";1;"470R";;;
13;"R24,R23";"R_0805_2012Metric";2;"27k";;;
14;"R22,R2";"R_0805_2012Metric";2;"100k";;;
15;"R21";"R_0805_2012Metric";1;"3k3";;;
16;"R20";"R_0805_2012Metric";1;"33k";;;
17;"R19";"R_0805_2012Metric";1;"3k3 0.1%";;;
18;"R18";"R_0805_2012Metric";1;"10k 0.1%";;;
19;"R17,R16";"R_0805_2012Metric";2;"1k";;;
20;"R15,R14,R6,R1";"R_0805_2012Metric";4;"10k";;;
21;"R13,R11,R9,R7";"R_0805_2012Metric";4;"470k 0.1%";;;
22;"R12,R10,R8";"R_0805_2012Metric";3;"680R 0.1%";;;
23;"R5";"R_0805_2012Metric";1;"2k2";;;
24;"R4";"R_0805_2012Metric";1;"15k";;;
25;"R3";"R_0805_2012Metric";1;"120k";;;
26;"Q4,Q3";"SOT-23";2;"MMBT3904";;;
27;"Q2";"SOT-23";1;"MMBT3906";;;
28;"Q1";"SOT-23";1;"DMP1045U";;;
29;"L1";"L_1206_3216Metric";1;"4.7uH";;;
30;"J7";"Waveshare_2.4_ILI9341_18366";1;"ILI9341 LCD";;;
31;"J5";"TO-92L_Inline_Wide";1;"1x03 2.54";;;
32;"J3";"PinHeader_2x03_P2.54mm_Vertical";1;"ISP";;;
33;"J2";"PinHeader_1x02_P2.54mm_Vertical";1;"Battery Li-Po 3.7V";;;
34;"J1";"USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal";1;"USB_C";;;
35;"D4,D3";"LED_0805_2012Metric";2;"LED";;;
36;"D2,D1";"D_SMA";2;"SS34";;;
37;"C17,C15";"CP_EIA-3216-18_Kemet-A";2;"10u";;;
38;"C14";"C_0805_2012Metric";1;"10n";;;
39;"C13,C12,C3,C2,C1";"C_1206_3216Metric";5;"4u7";;;
40;"C11";"C_0805_2012Metric";1;"100n 1%";;;
41;"C10,C9";"C_0805_2012Metric";2;"22p";;;
42;"C8";"C_0805_2012Metric";1;"1n";;;
43;"C7,C6";"C_0805_2012Metric";2;"100n";;;
44;"C5,C4";"C_0805_2012Metric";2;"22u";;;
