Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4u7","C_1206_3216Metric",171.956200,-78.740000,0.000000,bottom
"C2","4u7","C_1206_3216Metric",175.793400,-80.211400,90.000000,bottom
"C3","4u7","C_1206_3216Metric",173.429400,-71.729600,180.000000,bottom
"C4","22u","C_0805_2012Metric",169.687200,-59.055000,180.000000,bottom
"C5","22u","C_0805_2012Metric",162.204400,-60.060800,90.000000,bottom
"C6","100n","C_0805_2012Metric",149.667000,-74.422000,0.000000,bottom
"C7","100n","C_0805_2012Metric",147.513000,-91.694000,180.000000,bottom
"C8","1n","C_0805_2012Metric",161.859000,-82.804000,0.000000,bottom
"C9","22p","C_0805_2012Metric",134.823200,-73.406000,90.000000,bottom
"C10","22p","C_0805_2012Metric",134.823200,-92.354400,-90.000000,bottom
"C11","100n 1%","C_0805_2012Metric",161.874200,-84.886800,0.000000,bottom
"C12","4u7","C_1206_3216Metric",153.875100,-66.901800,-90.000000,bottom
"C13","4u7","C_1206_3216Metric",146.915500,-65.989200,-90.000000,bottom
"C14","10n","C_0805_2012Metric",160.436600,-103.456500,0.000000,bottom
"C15","10u","CP_EIA-3216-18_Kemet-A",146.511000,-94.996000,180.000000,bottom
"C17","10u","CP_EIA-3216-18_Kemet-A",150.067000,-71.628000,0.000000,bottom
"D1","SS34","D_SMA",178.174400,-75.209400,0.000000,bottom
"D2","SS34","D_SMA",165.271200,-66.446400,0.000000,bottom
"D3","LED","LED_0805_2012Metric",161.313100,-112.623600,0.000000,bottom
"D4","LED","LED_0805_2012Metric",182.191900,-90.957400,90.000000,bottom
"J1","USB_C","USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal",182.876400,-83.210400,-90.000000,bottom
"L1","4.7uH","L_1206_3216Metric",172.212000,-63.779600,-90.000000,bottom
"Q1","DMP1045U","SOT-23",178.206400,-70.764400,90.000000,bottom
"Q2","MMBT3906","SOT-23",157.227900,-64.465200,-90.000000,bottom
"Q3","MMBT3904","SOT-23",160.401000,-109.067600,-90.000000,bottom
"Q4","MMBT3904","SOT-23",165.547000,-118.696500,90.000000,bottom
"R1","10k","R_0805_2012Metric",173.632500,-85.242400,0.000000,bottom
"R2","100k","R_0805_2012Metric",183.667400,-75.717400,-90.000000,bottom
"R3","120k","R_0805_2012Metric",164.136700,-63.144400,0.000000,bottom
"R4","15k","R_0805_2012Metric",165.049200,-60.072900,90.000000,bottom
"R5","2k2","R_0805_2012Metric",154.836500,-91.440000,180.000000,bottom
"R6","10k","R_0805_2012Metric",119.102500,-77.089000,0.000000,bottom
"R7","470k 0.1%","R_0805_2012Metric",161.874200,-87.223600,0.000000,bottom
"R8","680R 0.1%","R_0805_2012Metric",117.602000,-103.632000,-90.000000,bottom
"R9","470k 0.1%","R_0805_2012Metric",120.142000,-103.608500,-90.000000,bottom
"R10","680R 0.1%","R_0805_2012Metric",122.682000,-103.632000,-90.000000,bottom
"R11","470k 0.1%","R_0805_2012Metric",125.222000,-103.608500,-90.000000,bottom
"R12","680R 0.1%","R_0805_2012Metric",127.762000,-103.632000,-90.000000,bottom
"R13","470k 0.1%","R_0805_2012Metric",130.302000,-103.632000,-90.000000,bottom
"R14","10k","R_0805_2012Metric",172.110400,-99.061900,90.000000,bottom
"R15","10k","R_0805_2012Metric",175.158400,-101.043100,90.000000,bottom
"R16","1k","R_0805_2012Metric",171.197900,-101.955600,180.000000,bottom
"R17","1k","R_0805_2012Metric",178.052100,-101.955600,180.000000,bottom
"R18","10k 0.1%","R_0805_2012Metric",157.226000,-88.646000,180.000000,bottom
"R19","3k3 0.1%","R_0805_2012Metric",157.211100,-86.395800,0.000000,bottom
"R20","33k","R_0805_2012Metric",157.227900,-61.010800,180.000000,bottom
"R21","3k3","R_0805_2012Metric",174.625000,-115.546500,-90.000000,bottom
"R22","100k","R_0805_2012Metric",160.436600,-105.691700,0.000000,bottom
"R23","27k","R_0805_2012Metric",156.868500,-80.807800,0.000000,bottom
"R24","27k","R_0805_2012Metric",164.695500,-115.316000,0.000000,bottom
"R25","470R","R_0805_2012Metric",175.920400,-89.052400,-90.000000,bottom
"U1","ATmega644PA-A","TQFP-44_10x10mm_P0.8mm",147.675600,-83.210400,0.000000,bottom
"U2","MCP73832-2-OT","SOT-23-5",171.622300,-82.331600,0.000000,bottom
"U3","MT3608","SOT-23-6",168.478200,-62.208400,0.000000,bottom
"U4","LM4040DBZ-2.5","SOT-23",154.874000,-95.171500,-90.000000,bottom
"U5","TPMCP1702T-5002E/CB","SOT-23",150.499200,-65.428600,0.000000,bottom
"Y1","16MHz","Crystal_SMD_HC49-SD",134.823200,-82.956400,-90.000000,bottom
